MW,Sv,Se,Sp,Si,nAT,nBT,nBM,nDB,nAB,nHM,nHet,totalcharge,nCIR,MCD,NRS,NNRS,D/Dtr05,D/Dtr06,Ges,Hy,NAME,Type
218.11,14.32,22.473,14.454,23.641,21,21,8,2,6,1,7,0,1,0.429,1,1,0,47.99,13,1.592,2003,fda
218.161,16.282,25.855,26.778,28.206,25,23,1,1,0,1,8,0,0,0,0,0,0,0,12,3.593,2745,fda
218.23,16.976,30.149,17.057,33.163,29,28,3,3,0,0,6,0,0,0,0,0,0,0,10,-0.586,1423,fda
218.28,18.633,30.16,19.489,33.907,30,31,8,2,6,0,4,0,2,0.75,2,1,0,97.356,11,0.451,430,fda
218.28,18.633,30.16,19.489,33.907,30,31,11,1,10,0,4,0,3,0.562,1,0.5,31.288,37.856,14,1.25,2966,fda
218.33,19.654,37.029,21.193,42.405,37,36,1,1,0,0,4,0,0,0,0,0,0,0,15,0.496,2491,fda
218.37,21.51,37.047,23.83,42.777,38,38,4,4,0,0,1,0,1,0.625,1,1,0,0,15,-0.917,2324,fda
219.2,16.482,32.007,18.591,37.618,32,29,0,0,0,2,6,0,0,0,0,0,0,0,5,4.881,2198,fda
219.26,18.327,29.385,18.938,32.618,29,30,8,2,6,0,4,0,2,0.687,2,1,45.794,51.705,14,-0.734,93,fda
219.65,15.143,25.145,15.284,27.728,24,24,7,2,5,1,7,0,1,0.357,1,1,41.45,0,13,0.043,858,fda
219.69,16.681,28.593,17.557,31.977,28,27,6,0,6,1,5,0,1,0.429,1,1,0,43.421,13,2.382,834,fda
220.171,17.326,24.316,28.108,26.372,24,23,7,1,6,1,6,0,1,0.4,1,1,0,48.27,13,1.443,639,fda
220.25,17.821,28.604,18.182,31.701,28,29,11,1,10,0,5,0,3,0.562,1,0.5,31.897,37.955,16,3.156,620,fda
220.25,17.821,28.604,18.182,31.701,28,29,11,1,10,0,5,0,3,0.562,1,0.5,31.897,37.955,16,3.156,1543,fda
220.35,20.499,35.483,22.319,40.943,36,36,7,1,6,0,3,0,1,0.375,1,1,0,59.001,15,0.39,230,fda
220.37,18.918,30.465,20.989,34.823,31,32,7,1,6,1,3,0,2,0.8,2,1,0,92.601,11,-0.265,1924,fda
220.39,22.036,38.931,24.591,45.192,40,42,1,1,0,0,1,0,6,0.75,1,0.333,0,0,15,-0.917,1084,fda
220.39,22.036,38.931,24.591,45.192,40,40,6,0,6,0,1,0,1,0.375,1,1,0,55.01,8,-0.413,2121,fda
221.24,16.998,31.251,17.063,34.661,30,29,2,2,0,0,7,0,0,0,0,0,0,0,15,3.394,2136,fda
221.24,16.998,31.251,17.063,34.661,30,30,1,1,0,0,7,0,1,0.4,1,1,0,50.971,15,3.394,2467,fda
221.28,18.853,31.269,19.699,35.033,31,32,7,1,6,0,4,0,2,0.687,2,1,45.355,53.815,13,-0.229,979,fda
222.21,17.208,27.055,17.08,29.123,26,27,8,2,6,0,5,0,3,0.625,1,0.5,0,69.772,16,-0.168,2320,fda
222.25,19.064,27.073,19.716,29.495,27,29,14,2,12,0,2,0,4,0.882,2,0.667,29.191,82.91,10,-0.865,413,fda
222.25,19.064,27.073,19.716,29.495,27,29,14,2,12,0,2,0,4,0.941,2,0.667,0,117.75,15,-0.865,1072,fda
222.28,13.131,20.426,13.443,21.877,19,19,8,3,5,2,9,0,1,0.385,1,1,37.786,0,12,1.837,1372,fda
222.41,22.563,40.814,25.353,47.607,42,41,3,3,0,0,1,0,0,0,0,0,0,0,15,-0.413,1616,fda
222.41,22.563,40.814,25.353,47.607,42,41,3,3,0,0,1,0,0,0,0,0,0,0,15,-0.413,1806,fda
222.41,22.563,40.814,25.353,47.607,42,42,2,2,0,0,1,0,1,0.375,1,1,0,58.245,15,-0.413,2114,fda
222.72,15.121,24.676,16.233,27.355,24,23,8,2,6,2,6,0,1,0.462,1,1,0,38.895,9,2.566,955,fda
222.74,18.558,29.713,20.199,33.847,30,30,11,0,11,1,3,0,2,0.733,2,1,36.091,43.995,12,-0.265,504,fda
223.09,13.132,22.505,14.08,25.333,22,21,2,2,0,1,5,0,0,0,0,0,0,0,10,1.749,1791,fda
223.25,18.041,29.713,18.392,32.827,29,29,8,2,6,0,5,0,1,0.375,1,1,0,58.525,14,1.311,2146,fda
223.3,19.38,33.153,20.46,37.448,33,33,7,1,6,0,4,0,1,0.375,1,1,0,57.778,14,0.451,814,fda
223.3,19.698,29.723,20.824,33.571,30,32,12,0,11,0,3,0,4,0.882,2,0.667,31.445,85.484,15,-0.807,2407,fda
223.77,19.59,32.378,21.716,37.179,33,32,7,0,6,1,2,0,1,0.4,1,1,0,50.165,12,-0.846,2878,fda
224.24,17.536,28.931,17.636,31.91,28,29,4,4,0,0,6,0,2,0.687,2,1,41.692,50.608,16,0.573,151,fda
224.25,17.337,28.924,17.432,32.282,28,29,7,2,5,0,7,0,3,0.562,1,0.5,30.097,36.026,16,-0.046,1658,fda
225.18,15.692,24.709,14.812,26.372,23,23,11,5,6,0,8,0,1,0.375,1,1,0,55.01,14,0.696,1196,fda
225.18,15.692,24.709,14.812,26.372,23,24,9,4,5,0,8,0,2,0.625,2,1,92.947,0,15,-0.489,1389,fda
225.24,16.832,28.142,16.676,31.365,27,28,7,2,5,0,8,0,3,0.562,1,0.5,31.319,37.716,16,2.382,351,fda
226.24,18.778,27.4,19.171,29.704,27,29,13,1,12,0,3,0,6,0.824,1,0.333,0,83.925,10,0.353,1430,fda
226.26,18.063,30.814,18.398,34.325,30,30,7,1,6,0,6,0,1,0.375,1,1,0,57.31,16,4.234,392,fda
226.27,17.864,30.807,18.193,34.697,30,31,7,2,5,0,7,0,2,0.687,2,1,45.813,52.44,13,-0.55,2162,fda
226.3,19.918,30.833,21.034,34.697,31,32,13,1,12,0,3,0,2,0.706,2,1,0,116.144,16,-0.807,1847,fda
227.26,18.555,27.353,19,30.495,27,29,12,0,11,0,4,0,4,0.824,2,0.667,66.291,48.06,17,-0.75,2224,fda
227.661,15.69,19.953,27.494,21.691,20,20,8,2,6,3,6,0,1,0.462,1,1,0,43.562,10,-0.523,2155,fda
228.08,15.498,21.611,16.222,23.256,21,22,11,0,11,2,4,0,3,0.714,1,0.5,0,56.608,14,-0.166,1233,fda
228.23,17.251,29.258,17.091,32.12,28,29,3,3,0,0,7,0,2,0.687,2,1,41.992,50.75,16,1.433,1891,fda
228.24,17.052,29.251,16.886,32.492,28,29,3,3,0,0,8,0,2,0.687,2,1,41.992,50.75,16,2.382,51,fda
228.26,19.305,29.284,19.932,32.119,29,30,13,1,12,0,3,0,2,0.706,2,1,0,114.814,12,1.136,149,fda
228.26,19.305,29.284,19.932,32.119,29,30,13,1,12,0,3,0,2,0.706,2,1,0,112.11,15,-0.314,1503,fda
228.27,19.106,29.276,19.727,32.491,29,30,13,2,11,0,4,0,2,0.647,2,1,51.956,57.97,14,-0.256,683,fda
228.31,20.644,32.723,22,36.74,33,34,12,1,11,0,2,0,3,0.588,1,0.5,0,81.5,17,-0.865,1132,fda
228.31,20.644,32.723,22,36.74,33,34,12,0,12,0,2,0,2,0.706,2,1,0,113.298,7,0.295,2093,fda
228.42,22.805,43.025,25.569,50.232,44,43,1,1,0,0,2,0,0,0,0,0,0,0,15,-0.352,2417,fda
229.25,18.8,28.502,19.176,31.202,28,29,13,1,12,0,4,0,2,0.706,2,1,0,114.766,15,1.193,922,fda
229.29,16.503,26.898,17.074,29.704,26,27,3,3,0,1,7,0,2,0.733,2,1,38.692,46.741,15,1.508,288,fda
230.28,19.832,31.167,20.693,34.535,31,32,12,1,11,0,3,0,3,0.588,1,0.5,0,80.158,17,-0.314,1732,fda
230.33,21.171,34.607,22.762,39.156,35,37,4,4,0,0,2,0,6,0.765,1,0.333,48.312,0,17,-0.865,909,fda
230.34,20.972,34.6,22.557,39.528,35,36,11,1,10,0,3,0,3,0.529,1,0.5,32.799,41.259,15,-0.807,1568,fda
230.34,20.972,34.6,22.557,39.528,35,36,8,2,6,0,3,0,2,0.647,2,1,45.953,53.017,14,-0.807,1792,fda
230.69,15.067,21.909,15.71,23.525,21,22,9,3,6,2,6,0,3,0.714,1,0.5,0,56.608,13,-0.027,1457,fda
231.1,15.321,22.705,16.023,25.127,22,22,8,2,6,2,6,0,1,0.429,1,1,0,48.741,11,2.451,2528,fda
232.26,18.821,29.604,19.182,32.701,29,30,9,3,6,0,5,0,3,0.588,1,0.5,0,75.472,17,-0.198,592,fda
232.31,20.16,33.043,21.25,37.322,33,34,11,1,10,0,4,0,3,0.529,1,0.5,35.532,41.713,17,0.411,53,fda
232.31,20.16,33.043,21.25,37.322,33,34,8,2,6,0,4,0,2,0.706,2,1,0,108.129,15,1.193,266,fda
232.32,19.643,36.465,20.682,41.571,36,35,2,2,0,0,6,0,1,0.375,1,1,0,14.4,7,2.259,2880,fda
232.35,21.698,36.491,23.523,41.571,37,38,4,4,0,0,2,0,3,0.765,1,0.5,27.426,0,17,-0.865,109,fda
233.27,16.417,27.233,16.733,29.541,26,27,4,4,0,1,7,0,3,0.467,1,0.5,32.024,0,13,-0.004,425,fda
233.73,18.009,31.469,19.114,35.764,31,31,2,2,0,1,6,0,1,0.4,1,1,0,54.92,13,-0.069,369,fda
234.22,14.675,21.796,14.21,23.391,20,21,10,0,10,1,7,0,3,0.6,1,0.5,30.82,34.919,13,0.691,228,fda
234.32,20.886,34.934,22.216,39.365,35,36,7,1,6,0,3,0,3,0.529,1,0.5,39.767,43.652,15,-0.314,1771,fda
234.38,22.026,38.367,24.08,44.358,39,39,7,1,6,0,3,0,1,0.353,1,1,0,62.915,11,-0.314,127,fda
234.43,23.364,41.807,26.148,48.979,43,46,0,0,0,0,2,0,10,1,1,0.25,0,92.064,9,-0.865,2313,fda
234.75,19.558,30.713,21.199,34.847,31,32,11,0,11,1,3,0,6,0.875,1,0.333,0,70.902,15,0.39,1339,fda
235.81,18.492,31.782,20.818,36.308,32,33,0,0,0,2,4,0,4,0.857,1,0.333,25.605,85.647,11,-0.696,2164,fda
236.13,15.164,26.171,16.597,29.665,26,25,2,2,0,1,4,0,1,0.5,1,1,0,34.943,11,-0.646,761,fda
236.16,15.342,26.473,13.932,27.917,24,25,4,4,0,0,10,0,3,0.5,1,0.5,65.953,0,7,-0.367,1752,fda
236.251,17.599,24.058,29.097,26.454,24,23,9,3,6,2,7,0,1,0.4,1,1,0,48.356,11,0.691,1156,fda
236.26,18.337,29.924,18.432,33.282,29,31,7,2,5,0,7,0,4,0.824,2,0.667,68.651,38.571,17,0.584,284,fda
236.26,18.337,29.924,18.432,33.282,29,30,5,5,0,0,7,0,3,0.529,1,0.5,36.302,40.3,17,2.236,1697,fda
236.29,20.392,29.949,21.273,33.282,30,32,14,2,12,0,3,0,6,0.833,1,0.333,0,58.887,11,0.32,281,fda
236.31,14.658,23.309,15.205,25.292,22,22,5,5,0,2,9,0,1,0.357,1,1,41.086,0,13,0.895,1120,fda
236.32,18.294,28.353,19.375,31.411,28,29,11,1,10,1,5,0,3,0.562,1,0.5,31.199,41.296,16,1.311,173,fda
236.35,21.214,36.811,22.773,42.152,37,38,6,0,6,0,4,0,2,0.706,2,1,0,113.882,13,0.411,1191,fda
236.35,21.214,36.811,22.773,42.152,37,38,6,0,6,0,4,0,2,0.706,2,1,0,113.882,13,0.411,1194,fda
236.35,21.214,36.811,22.773,42.152,37,37,7,1,6,0,4,0,1,0.353,1,1,0,63.994,13,0.411,1487,fda
236.68,15.996,30.603,16.199,34.57,29,26,1,1,0,1,8,0,0,0,0,0,0,0,11,5.774,2766,fda
236.77,20.085,32.596,21.961,37.262,33,33,11,0,11,1,3,0,2,0.687,2,1,39.691,48.185,13,-0.291,502,fda
236.77,20.085,32.596,21.961,37.262,33,33,11,0,11,1,3,0,2,0.687,2,1,39.691,48.185,14,-0.291,833,fda
236.77,20.085,32.596,21.961,37.262,33,34,7,1,6,1,3,0,4,0.937,2,0.667,30.206,59.048,15,-0.291,1124,fda
237.28,19.568,32.596,20.154,36.242,32,32,8,2,6,0,5,0,1,0.353,1,1,0,60.476,17,-0.198,962,fda
238.18,16.186,24.927,15.057,26.455,23,24,10,5,5,0,9,0,2,0.588,2,1,99.977,0,16,0.032,1394,fda
238.22,17.147,26.411,16.637,29.128,25,26,12,1,11,0,7,0,2,0.647,2,1,45.81,56.965,14,0.584,82,fda
238.27,19.063,31.814,19.398,35.325,31,31,8,2,6,0,6,0,1,0.353,1,1,0,63.749,10,2.178,115,fda
238.28,18.864,31.807,19.193,35.697,31,32,7,2,5,0,7,0,3,0.529,1,0.5,32.88,39.357,17,-0.083,1612,fda
238.3,21.117,31.84,22.239,35.325,32,33,14,2,12,0,2,0,2,0.667,2,1,0,133.016,14,-0.873,1729,fda
238.35,18.304,33.658,19.568,38.076,33,33,2,2,0,1,7,0,1,0.4,1,1,0,53.205,12,0.691,2866,fda
239.35,21.434,37.92,22.983,43.278,38,38,6,0,6,0,4,0,1,0.353,1,1,0,61.878,15,2.063,1884,fda
240.22,18.966,26.844,18.864,28.498,26,28,14,2,12,0,4,0,6,0.778,1,0.333,0,89.799,11,0.374,1410,fda
240.34,21.246,33.709,22.591,38.484,34,36,15,0,15,0,4,0,6,0.722,1,0.333,26.486,62.869,17,0.374,2900,fda
240.39,16.383,22.091,18.443,23.63,22,23,8,2,6,3,4,0,2,0.786,2,1,37.114,42.852,12,-0.696,1532,fda
240.78,18.218,27.905,20.085,31.352,28,29,7,1,6,2,4,0,4,0.933,2,0.667,51.192,37.745,12,-0.716,2668,fda
240.78,18.218,27.905,20.085,31.352,28,29,7,1,6,2,4,0,4,0.933,2,0.667,51.192,37.745,12,-0.716,2734,fda
241.251,19.927,32.069,31.398,36.116,32,30,2,2,0,1,7,0,0,0,0,0,0,0,13,1.433,1918,fda
241.27,19.283,32.924,19.608,36.452,32,32,7,1,6,0,6,0,1,0.353,1,1,0,63.733,17,1.309,308,fda
241.31,21.139,32.942,22.245,36.823,33,34,13,1,12,0,3,0,2,0.667,2,1,0,114.949,17,0.32,1153,fda
241.32,20.94,32.934,22.04,37.195,33,35,12,1,11,0,4,0,4,0.889,2,0.667,0,136.443,16,-0.763,2441,fda
241.71,17.757,28.694,18.387,32.306,28,29,7,1,6,1,7,0,2,0.687,2,1,42.133,52.052,16,0.634,486,fda
241.76,19.095,32.134,20.455,36.927,32,31,8,2,6,1,6,0,1,0.375,1,1,0,55.82,13,4.234,713,fda
242.26,18.778,32.142,18.852,35.535,31,32,3,3,0,0,7,0,2,0.647,2,1,44.992,54.616,17,1.366,254,fda
242.26,18.778,32.142,18.852,35.535,31,32,3,3,0,0,7,0,2,0.647,2,1,44.992,54.616,17,1.366,1554,fda
242.27,18.579,32.134,18.648,35.907,31,32,6,1,5,0,8,0,2,0.647,2,1,48.12,56.909,15,-0.519,1483,fda
242.29,20.832,32.167,21.693,35.535,32,34,12,0,12,0,3,0,4,0.889,2,0.667,0,131.95,16,0.32,651,fda
242.29,20.832,32.167,21.693,35.535,32,33,13,1,12,0,3,0,2,0.667,2,1,0,120.849,16,-0.334,1979,fda
242.29,20.832,32.167,21.693,35.535,32,34,12,0,12,0,3,0,4,0.889,2,0.667,0,131.95,16,0.32,2202,fda
242.308,17.838,21.469,38.244,22.806,21,20,8,2,6,2,7,0,1,0.429,1,1,0,42.762,11,0.043,1610,fda
242.35,21.972,35.6,23.557,40.528,36,38,5,5,0,0,3,0,6,0.722,1,0.333,0,95.642,18,1.088,2928,fda
242.45,24.332,45.909,27.33,53.647,47,46,1,1,0,0,2,0,0,0,0,0,0,0,17,-0.371,2132,fda
242.5,25.67,49.349,29.398,58.268,51,50,0,0,0,0,1,0,0,0,0,0,0,0,16,-0.429,1217,fda
242.72,19.186,31.374,20.313,34.894,31,31,7,1,6,1,4,0,1,0.375,1,1,0,58.46,13,-0.734,356,fda
243.25,18.272,31.36,18.097,34.618,30,31,3,3,0,0,8,0,2,0.647,2,1,45.292,53.644,17,3.232,475,fda
243.25,18.272,31.36,18.097,34.618,30,31,3,3,0,0,8,0,2,0.647,2,1,45.292,53.644,17,3.232,2661,fda
243.33,21.665,34.825,23.006,39.239,35,36,12,1,11,0,3,0,3,0.556,1,0.5,0,85.586,17,-0.334,75,fda
244.23,17.966,30.585,17.545,33.329,29,30,3,3,0,0,8,0,2,0.647,2,1,45.292,53.644,17,2.293,459,fda
244.24,17.767,30.578,17.341,33.701,29,30,3,3,0,0,9,0,2,0.647,2,1,45.292,53.644,17,3.29,337,fda
244.24,17.767,30.578,17.341,33.701,29,30,6,1,5,0,9,0,2,0.588,2,1,93.325,0,17,3.29,690,fda
244.25,18.446,31.327,18.335,34.665,30,31,3,3,0,0,7,0,2,0.647,2,1,44.992,54.616,17,0.584,2423,fda
244.26,20.02,30.611,20.386,33.329,30,31,13,1,12,0,4,0,2,0.667,2,1,0,118.882,18,0.374,1443,fda
244.28,20.501,31.353,21.176,34.665,31,32,13,1,12,0,3,0,2,0.667,2,1,0,119.754,16,-0.334,271,fda
244.3,17.723,29.007,18.284,31.83,28,29,3,3,0,1,7,0,2,0.625,2,1,88.487,0,16,0.634,852,fda
244.31,21.359,34.051,22.455,37.95,34,35,9,3,6,0,3,0,3,0.556,1,0.5,0,83.872,17,-0.818,598,fda
244.32,21.16,34.043,22.25,38.322,34,35,12,1,11,0,4,0,2,0.611,2,1,52.335,58.001,16,-0.763,114,fda
244.35,19.062,32.447,20.352,36.451,32,33,2,2,0,1,6,0,3,0.5,1,0.5,70.149,0,16,1.372,861,fda
244.42,23.838,40.923,26.387,47.564,42,43,7,1,6,0,2,0,2,0.611,2,1,52.252,60.433,13,-0.389,2057,fda
244.75,19.514,33.251,20.87,37.681,33,33,6,1,5,1,5,0,2,0.625,2,1,80.77,0,15,-0.673,1261,fda
245.35,22.192,36.709,23.767,41.654,37,39,7,1,6,0,3,0,4,0.667,2,0.667,35.785,45.092,18,-0.334,1296,fda
246.22,17.634,29.771,17.028,32.459,28,29,3,3,0,0,8,0,2,0.647,2,1,44.992,54.616,17,1.424,103,fda
246.22,17.634,29.771,17.028,32.459,28,29,3,3,0,0,8,0,2,0.647,2,1,44.692,53.297,17,1.424,471,fda
246.29,20.348,32.487,20.943,36.116,32,33,9,3,6,0,5,0,2,0.667,2,1,0,126.482,16,0.429,2442,fda
246.32,18.25,30.891,19.046,34.245,30,29,9,3,6,1,7,0,1,0.375,1,1,0,38.895,13,3.278,926,fda
246.33,21.886,35.934,23.216,40.365,36,37,8,2,6,0,3,0,2,0.611,2,1,55.085,60.562,16,-0.334,1496,fda
246.34,16.351,29.302,17.352,32.003,28,27,4,4,0,2,8,0,0,0,0,0,0,0,6,-0.418,280,fda
246.34,21.687,35.927,23.012,40.737,36,37,8,2,6,0,4,0,2,0.611,2,1,52.899,62.947,14,-0.28,431,fda
246.39,23.026,39.367,25.08,45.358,40,41,7,1,6,0,3,0,2,0.667,2,1,0,119.975,14,-0.334,1830,fda
246.76,20.558,31.713,22.199,35.847,32,33,12,1,11,1,3,0,4,0.882,2,0.667,35.982,67.149,15,-0.314,701,fda
247.16,16.868,27.458,17.222,29.554,26,26,8,2,6,1,8,0,1,0.375,1,1,0,56.51,15,1.494,1793,fda
247.16,16.868,27.458,17.222,29.554,26,26,8,2,6,1,8,0,1,0.375,1,1,0,56.51,15,1.494,2111,fda
247.28,16.886,27.411,17.011,30.044,26,27,3,3,0,1,8,0,2,0.687,2,1,41.692,50.608,16,1.494,286,fda
247.31,17.745,30.109,18.29,33.328,29,29,9,4,5,1,8,0,1,0.312,1,1,49.652,0,14,-0.489,1145,fda
247.75,19.735,34.36,21.08,38.807,34,33,6,0,6,1,5,0,1,0.375,1,1,0,52.932,14,2.198,729,fda
247.75,19.735,34.36,21.08,38.807,34,33,6,0,6,1,5,0,1,0.375,1,1,0,51.619,15,1.311,1329,fda
247.75,20.053,30.931,21.443,34.93,31,33,11,0,11,1,4,0,10,0.941,1,0.25,17.316,68.535,9,-0.256,2885,fda
248.17,16.643,26.265,15.438,27.933,24,24,8,2,6,0,7,0,1,0.353,1,1,0,60,15,-0.083,897,fda
248.212,16.005,19.175,38.125,20.255,19,16,4,4,0,4,10,0,0,0,0,0,0,0,4,-0.224,2764,fda
248.27,19.655,27.494,19.796,30.405,27,29,18,0,17,0,6,0,3,0.895,3,1,48.145,120.721,17,-0.198,971,fda
248.33,19.294,29.353,20.375,32.411,29,30,14,2,12,1,5,0,2,0.706,2,1,0,113.298,7,2.12,1446,fda
248.35,22.412,37.818,23.978,42.78,38,40,3,3,0,0,3,0,6,0.778,1,0.333,27.274,0,18,-0.818,601,fda
248.35,22.412,37.818,23.978,42.78,38,38,8,2,6,0,3,0,1,0.333,1,1,0,68.866,15,-0.818,2461,fda
248.36,22.214,37.811,23.773,43.152,38,39,10,0,10,0,4,0,3,0.5,1,0.5,38.287,49.304,17,1.142,1364,fda
248.41,23.552,41.251,25.841,47.773,42,45,1,1,0,0,3,0,12,0.944,1,0.25,0,93.884,17,-0.818,590,fda
248.41,23.552,41.251,25.841,47.773,42,45,1,1,0,0,3,0,12,0.944,1,0.25,0,93.884,17,-0.818,1046,fda
248.73,19.746,30.156,20.892,33.641,30,31,15,0,15,1,4,0,6,0.765,1,0.333,19.432,56.361,15,-0.256,1021,fda
248.74,19.547,30.149,20.688,34.013,30,31,12,0,12,1,5,0,2,0.706,2,1,0,105.02,15,2.12,448,fda
248.78,21.085,33.596,22.961,38.262,34,35,11,0,11,1,3,0,4,0.824,2,0.667,65.047,37.518,12,-0.314,1471,fda
249.28,21.085,30.174,21.722,32.993,30,32,18,1,17,0,3,0,4,0.842,2,0.667,0,134.736,16,-0.353,1231,fda
249.3,20.369,33.589,20.949,37.614,33,34,11,1,10,0,6,0,3,0.5,1,0.5,38.538,46.73,17,0.483,2917,fda
249.32,18.788,28.571,19.619,31.494,28,29,14,2,12,1,6,0,2,0.706,2,1,0,116.362,14,1.309,2910,fda
249.34,16.889,26.982,17.926,29.252,26,26,3,3,0,2,7,0,1,0.333,1,1,47.72,0,15,0.691,358,fda
249.73,19.042,29.367,19.932,33.096,29,29,13,1,12,1,6,0,2,0.706,2,1,0,106.147,14,2.178,1262,fda
250.002,15.72,19.182,38.409,20.487,19,16,2,2,0,4,11,0,0,0,0,0,0,0,6,1.987,2886,fda
250.11,15.352,25.614,16.29,28.459,25,24,6,0,6,1,5,0,1,0.462,1,1,0,38.486,12,3.521,1796,fda
250.19,19.132,32.029,21.029,36.332,32,31,6,0,6,2,4,0,1,0.4,1,1,0,49.065,13,0.496,1192,fda
250.21,18.545,27.425,18.046,29.384,26,27,13,1,12,0,5,0,2,0.667,2,1,0,114.828,18,0.429,1444,fda
250.251,21.224,28.538,32.756,31.74,29,29,13,2,11,1,5,0,2,0.611,2,1,51.956,57.97,14,-0.709,2795,fda
250.28,20.381,29.385,20.762,32.448,29,31,14,3,10,0,5,0,4,0.789,2,0.667,40.614,98.598,17,-0.249,1905,fda
250.31,18.283,27.789,18.864,30.578,27,28,14,2,12,1,7,0,2,0.706,2,1,0,116.362,12,1.366,329,fda
250.37,22.939,39.702,24.739,45.195,40,40,7,1,6,0,3,0,1,0.333,1,1,0,68.543,17,-0.334,302,fda
250.37,22.939,39.702,24.739,45.195,40,40,7,1,6,0,3,0,1,0.333,1,1,0,68.832,18,-0.334,2157,fda
250.38,22.74,39.694,24.534,45.567,40,40,7,1,6,0,4,0,1,0.333,1,1,0,66.397,15,-0.763,1500,fda
251.181,19.579,24.324,30.136,25.83,24,25,11,5,6,1,6,0,6,0.778,1,0.333,0,86.591,10,-0.654,2504,fda
251.31,21.095,35.48,21.915,39.657,35,35,8,2,6,0,5,0,1,0.333,1,1,0,64.852,18,1.197,414,fda
251.36,22.434,38.92,23.983,44.278,39,39,7,1,6,0,4,0,1,0.333,1,1,0,67.168,16,-0.28,2348,fda
252.261,21.95,30.429,33.722,33.783,31,31,12,1,11,1,4,0,3,0.556,1,0.5,0,80.158,16,-0.763,235,fda
252.28,21.305,31.284,21.932,34.119,31,33,14,2,12,0,3,0,4,0.789,2,0.667,35.511,99.385,12,-0.828,1314,fda
252.29,21.106,31.276,21.727,34.491,31,33,14,2,12,0,4,0,6,0.789,1,0.333,0,62.668,19,0.341,146,fda
252.29,21.106,31.276,21.727,34.491,31,33,14,2,12,0,4,0,3,0.895,3,1,48.54,117.901,11,0.341,704,fda
252.39,19.95,33.105,21.489,37.986,33,33,7,1,5,1,7,0,1,0.294,1,1,56.919,0,17,1.366,371,fda
253.29,19.766,37.345,20.04,41.701,36,34,2,2,0,0,8,0,0,0,0,0,0,0,14,2.293,2773,fda
253.3,20.203,30.48,20.563,34.319,30,32,17,0,17,0,7,0,4,0.842,2,0.667,0,136.29,17,3.956,1155,fda
253.3,19.885,33.909,20.199,38.196,33,34,7,2,5,0,8,0,3,0.5,1,0.5,37.441,45.063,16,3.135,1225,fda
253.31,18.503,28.898,19.074,31.704,28,29,13,2,11,1,7,0,2,0.647,2,1,50.486,58.329,14,1.366,409,fda
253.74,17.175,24.676,18.057,27.186,24,26,11,1,10,2,7,0,4,0.875,2,0.667,65.557,36.009,16,0.634,1903,fda
253.77,20.095,33.134,21.455,37.927,33,33,8,2,6,1,6,0,1,0.353,1,1,0,64.115,14,3.117,2079,fda
254.25,20.493,29.727,20.625,31.914,29,31,14,2,12,0,4,0,4,0.842,2,0.667,0,138.897,17,0.341,374,fda
254.271,18.841,27.269,30.313,30.079,27,26,9,3,6,2,8,0,1,0.375,1,1,0,52.784,12,2.382,1535,fda
254.28,19.579,33.134,19.648,36.907,32,33,7,2,5,0,8,0,3,0.5,1,0.5,35.858,42.93,18,0.592,194,fda
254.3,21.832,33.167,22.693,36.535,33,34,14,2,12,0,3,0,2,0.632,2,1,0,128.564,17,-0.353,250,fda
254.3,21.832,33.167,22.693,36.535,33,34,14,2,12,0,3,0,2,0.632,2,1,0,133.3,15,-0.353,1387,fda
254.3,21.832,33.167,22.693,36.535,33,34,14,2,12,0,3,0,2,0.632,2,1,0,128.564,17,-0.353,2567,fda
254.31,21.633,33.16,22.489,36.907,33,34,14,2,12,0,4,0,2,0.632,2,1,0,127.167,17,1.935,81,fda
254.32,21.116,36.582,21.921,41.156,36,36,7,1,6,0,6,0,1,0.333,1,1,0,66.185,18,2.105,2008,fda
254.4,24.51,40.047,26.83,45.777,41,43,8,2,6,0,1,0,4,0.684,2,0.667,87.398,110.263,15,-0.931,959,fda
254.46,25.332,46.909,28.33,54.647,48,47,2,2,0,0,2,0,0,0,0,0,0,0,17,-0.389,2465,fda
255.102,17.904,22.975,40.074,25.424,23,20,3,3,0,3,11,0,0,0,0,0,0,0,11,1.768,2778,fda
255.25,19.471,32.367,19.301,35.246,31,31,5,5,0,0,7,0,1,0.278,1,1,60.048,0,15,-0.6,2163,fda
255.251,18.534,26.495,29.761,28.79,26,26,4,4,0,2,8,0,3,0.437,1,0.5,32.024,0,12,-0.489,718,fda
255.27,19.073,32.353,18.892,35.99,31,32,7,2,5,0,9,0,3,0.5,1,0.5,37.441,45.063,16,3.19,384,fda
255.29,21.327,32.385,21.938,35.618,32,34,13,2,11,0,4,0,4,0.737,2,0.667,77.479,57.071,17,-0.301,251,fda
255.29,21.327,32.385,21.938,35.618,32,34,13,1,12,0,4,0,6,0.737,1,0.333,0,108.609,19,-0.301,427,fda
255.35,17.448,25.764,18.506,27.999,25,26,13,2,11,2,7,0,2,0.687,2,1,47.186,53.951,13,1.433,855,fda
255.87,23.697,41.912,26.762,48.84,43,42,6,0,6,1,2,0,1,0.353,1,1,0,60.003,13,-0.865,1946,fda
256.11,16.816,23.924,17.267,26.21,23,24,12,0,12,2,7,0,2,0.75,2,1,0,96.722,16,2.32,815,fda
