MW,Sv,Se,Sp,Si,nAT,nBT,nBM,nDB,nAB,nHM,nHet,totalcharge,nCIR,MCD,NRS,NNRS,D/Dtr05,D/Dtr06,Ges,Hy,NAME,Type
115.15,9.558,17.291,9.96,19.578,17,17,1,1,0,0,3,0,1,0.625,1,1,19.667,0,8,0.964,2812,fda
115.25,12.236,24.171,14.097,28.82,25,24,0,0,0,0,1,0,0,0,0,0,0,0,8,0.728,1382,fda
116.08,7.913,13.076,7.341,13.668,12,11,3,3,0,0,4,0,0,0,0,0,0,0,4,1.083,1618,fda
116.08,7.913,13.076,7.341,13.668,12,11,3,3,0,0,4,0,0,0,0,0,0,0,4,1.083,2453,fda
116.13,9.252,16.516,9.409,18.289,16,15,2,2,0,0,3,0,0,0,0,0,0,0,8,0.079,2122,fda
116.18,10.59,19.956,11.477,22.91,20,19,1,1,0,0,2,0,0,0,0,0,0,0,8,-0.039,2463,fda
116.21,8.81,14.931,9.943,17.162,15,14,2,2,0,1,3,0,0,0,0,0,0,0,7,2.214,1105,fda
117.16,10.602,15.753,11.29,17.744,16,17,10,0,10,0,1,0,3,1,1,0.5,12.724,15.679,8,-0.213,2472,fda
117.17,10.085,19.174,10.722,21.993,19,18,1,1,0,0,3,0,0,0,0,0,0,0,5,-0.591,994,fda
117.17,10.085,19.174,10.722,21.993,19,18,1,1,0,0,3,0,0,0,0,0,0,0,7,2.001,2811,fda
118.1,8.44,14.96,8.102,16.083,14,13,2,2,0,0,4,0,0,0,0,0,0,0,4,1.083,1011,fda
118.2,11.117,21.84,12.239,25.325,22,21,0,0,0,0,2,0,0,0,0,0,0,0,7,0.846,2495,fda
119.14,9.273,17.618,9.415,19.787,17,16,1,1,0,0,4,0,0,0,0,0,0,0,8,3.268,2785,fda
120.13,9.086,13.407,9.023,14.993,13,14,10,0,10,0,4,0,3,1,1,0.5,12.724,15.679,9,0.105,2615,fda
120.16,10.822,16.862,11.5,18.87,17,17,7,1,6,0,1,0,1,0.667,1,1,0,26.648,7,-0.848,1897,fda
121.16,9.8,19.502,10.176,22.202,19,18,0,0,0,0,4,0,0,0,0,0,0,0,4,4.508,1219,fda
121.18,8.219,14.484,8.847,16.083,14,13,1,1,0,1,4,0,0,0,0,0,0,0,7,3.564,2818,fda
122.13,10.01,15.305,10.193,16.664,15,15,7,1,6,0,2,0,1,0.667,1,1,0,26.648,7,-0.107,1206,fda
122.14,9.811,15.298,9.989,17.036,15,15,7,1,6,0,3,0,1,0.667,1,1,0,26.648,9,0.843,398,fda
122.14,9.493,18.727,9.625,20.914,18,17,0,0,0,0,4,0,0,0,0,0,0,0,4,3.268,1255,fda
122.18,11.349,18.745,12.262,21.285,19,19,6,0,6,0,1,0,1,0.667,1,1,0,26.886,7,-0.213,958,fda
123.12,9.505,14.524,9.438,15.747,14,14,7,1,6,0,3,0,1,0.667,1,1,0,26.648,9,-0.001,316,fda
123.12,9.505,14.524,9.438,15.747,14,14,7,1,6,0,3,0,1,0.667,1,1,0,26.648,7,-0.001,2096,fda
123.13,9.306,14.516,9.233,16.119,14,14,7,1,6,0,4,0,1,0.667,1,1,0,26.648,9,0.949,325,fda
124.15,10.537,17.189,10.955,19.08,17,17,6,0,6,0,2,0,1,0.667,1,1,0,26.324,9,-0.107,1037,fda
124.15,10.537,17.189,10.955,19.08,17,17,6,0,6,0,2,0,1,0.667,1,1,0,26.324,7,-0.107,1152,fda
124.15,10.537,17.189,10.955,19.08,17,17,6,0,6,0,2,0,1,0.667,1,1,0,26.324,9,0.736,1922,fda
124.15,10.537,17.189,10.955,19.08,17,17,6,0,6,0,2,0,1,0.667,1,1,0,26,6,0.736,2328,fda
124.25,8.196,14.015,9.796,15.71,14,13,0,0,0,2,3,0,0,0,0,0,0,0,6,2.492,2526,fda
125.14,10.031,16.407,10.199,18.163,16,16,3,3,0,0,3,0,1,0.556,1,1,22.667,0,6,-0.636,952,fda
125.17,7.933,14.811,8.301,16.292,14,13,2,2,0,1,5,0,0,0,0,0,0,0,6,2.482,2674,fda
126.12,9.725,15.633,9.648,16.874,15,15,6,1,5,0,3,0,1,0.556,1,1,22.967,0,9,-0.001,1001,fda
126.12,9.725,15.633,9.648,16.874,15,15,6,0,6,0,3,0,1,0.667,1,1,0,26,6,1.83,1041,fda
126.12,9.725,15.633,9.648,16.874,15,15,3,3,0,0,3,0,1,0.667,1,1,0,26,9,-0.001,1615,fda
126.13,9.526,15.625,9.443,17.246,15,15,3,3,0,0,4,0,1,0.667,1,1,0,26,9,0.949,2337,fda
126.15,9.128,15.611,9.034,17.99,15,15,6,0,6,0,6,0,1,0.667,1,1,0,26,3,5.68,2317,fda
128.17,8.472,12.491,8.875,13.541,12,12,3,3,0,1,4,0,1,0.75,1,1,0,22.133,8,1.083,849,fda
129.11,8.689,14.029,8.171,15.459,13,13,3,3,0,0,5,0,1,0.667,1,1,0,26,9,2.042,263,fda
129.13,9.746,16.735,9.653,18.372,16,16,2,2,0,0,4,0,1,0.556,1,1,22.367,0,8,0.105,1452,fda
129.13,9.746,16.735,9.653,18.372,16,16,2,2,0,0,4,0,1,0.556,1,1,22.967,0,9,0.949,2049,fda
129.2,10.687,20.16,11.313,23.737,20,19,2,2,0,0,5,0,0,0,0,0,0,0,8,4.32,2604,fda
130.09,8.383,13.255,7.619,14.17,12,12,3,3,0,0,5,0,1,0.667,1,1,0,26,9,1.055,57,fda
130.11,9.44,15.96,9.102,17.083,15,14,3,3,0,0,4,0,0,0,0,0,0,0,9,0.105,2437,fda
130.21,12.117,22.84,13.239,26.325,23,22,1,1,0,0,2,0,0,0,0,0,0,0,9,-0.107,2109,fda
